JobID,Skills,Experience,Internships,Certificates,Projects,Education
29466,"Cloud Computing, AWS, DevOps",Fresher,Internship at IT company,Embedded Cert,"Chatbot, ATS Score System","MBA, Master of Business Administration, Management Studies"
29467,"Android, Kotlin, Firebase",1+ years,Internship in IoT Lab,UI/UX Cert,Image Recognition System,"B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
29468,"Java, Spring Boot, MySQL",1+ years,Internship in Analytics,AWS Architect Cert,CI/CD Pipeline,"B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
29469,"Cloud Computing, AWS, DevOps",Fresher,Internship at Startup,AWS Architect Cert,"E-commerce Website, Banking App","M.Tech AI, Master of Technology in Artificial Intelligence, Artificial Intelligence Engineering"
29470,"Android, Kotlin, Firebase",1+ years,Internship in AI Research,TensorFlow Cert,CI/CD Pipeline,"B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
29471,"C, Embedded Systems, IoT",1+ years,Internship in Design,CEH Cert,Smart Home System,"B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
29472,"Cybersecurity, Networking, Linux",1+ years,Internship in Design,"AWS Certified, Python Certified",Image Recognition System,"B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
29473,"AI, Deep Learning, TensorFlow",1+ years,Internship in Analytics,Full Stack Cert,Image Recognition System,"M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
29474,"Cybersecurity, Networking, Linux",Fresher,Internship in AI Research,Data Science Cert,CI/CD Pipeline,"B.Des Design, Bachelor of Design, Design Engineering"
29475,"Cybersecurity, Networking, Linux",2+ years,Internship at Startup,Full Stack Cert,E-learning Platform,"B.Tech ECE, Bachelor of Engineering in Electronics and Communication, Electronics and Communication Engineering"
29476,"AI, Deep Learning, TensorFlow",2+ years,Internship in Web Company,Embedded Cert,Smart Home System,"MBA, Master of Business Administration, Management Studies"
29477,"C, Embedded Systems, IoT",Fresher,Internship in Mobile Dev,Embedded Cert,Smart Home System,"B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
29478,"AI, Deep Learning, TensorFlow",Fresher,Internship in Analytics,AWS Architect Cert,"E-commerce Website, Banking App","B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
29479,"Cybersecurity, Networking, Linux",1+ years,Internship in Web Company,UI/UX Cert,E-learning Platform,"B.Tech ECE, Bachelor of Engineering in Electronics and Communication, Electronics and Communication Engineering"
29480,"UI/UX, Figma, Adobe XD",Fresher,Internship at IT company,Oracle Java Cert,"E-commerce Website, Banking App","B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
29481,"Cybersecurity, Networking, Linux",Fresher,Internship in Design,Oracle Java Cert,CI/CD Pipeline,"B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
29482,"Android, Kotlin, Firebase",1+ years,Internship in AI Research,CEH Cert,Social Media App,"M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
29483,"AI, Deep Learning, TensorFlow",2+ years,Internship in Mobile Dev,Full Stack Cert,Food Delivery App,"B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
29484,"UI/UX, Figma, Adobe XD",3+ years,Internship in Design,Full Stack Cert,E-learning Platform,"B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
29485,"Python, Django, Machine Learning",3+ years,Internship in Mobile Dev,AWS Architect Cert,Food Delivery App,"B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
29486,"Cloud Computing, AWS, DevOps",3+ years,Internship in Analytics,AWS Architect Cert,"E-commerce Website, Banking App","MBA, Master of Business Administration, Management Studies"
29487,"React, Node.js, MongoDB",1+ years,Internship in Web Company,AWS Architect Cert,Social Media App,"B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
29488,"Android, Kotlin, Firebase",2+ years,Internship in Analytics,Google Android Cert,E-learning Platform,"B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
29489,"React, Node.js, MongoDB",Fresher,Internship in Analytics,CEH Cert,"Chatbot, ATS Score System","B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
29490,"UI/UX, Figma, Adobe XD",2+ years,Internship in Cloud Services,AWS Architect Cert,"E-commerce Website, Banking App","B.Des Design, Bachelor of Design, Design Engineering"
29491,"Python, Django, Machine Learning",Fresher,Internship in Analytics,AWS Architect Cert,Food Delivery App,"B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
29492,"Python, Django, Machine Learning",2+ years,Internship in Mobile Dev,AWS Architect Cert,"Built ATS system, Spam Classifier","B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
29493,"Cybersecurity, Networking, Linux",2+ years,Internship in Analytics,Embedded Cert,Smart Home System,"B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
29494,"Cybersecurity, Networking, Linux",2+ years,Internship in Design,Oracle Java Cert,"Chatbot, ATS Score System","M.Tech AI, Master of Technology in Artificial Intelligence, Artificial Intelligence Engineering"
29495,"Data Science, Pandas, NLP",2+ years,Internship in Web Company,Google Android Cert,E-learning Platform,"B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
29496,"Python, Django, Machine Learning",1+ years,Internship in Mobile Dev,Google Android Cert,"Chatbot, ATS Score System","B.Des Design, Bachelor of Design, Design Engineering"
29497,"React, Node.js, MongoDB",3+ years,Internship in Cloud Services,CEH Cert,CI/CD Pipeline,"B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
29498,"Data Science, Pandas, NLP",1+ years,Internship in Analytics,TensorFlow Cert,Food Delivery App,"B.Tech ECE, Bachelor of Engineering in Electronics and Communication, Electronics and Communication Engineering"
29499,"Cloud Computing, AWS, DevOps",1+ years,Internship in Mobile Dev,Data Science Cert,Image Recognition System,"B.Tech ECE, Bachelor of Engineering in Electronics and Communication, Electronics and Communication Engineering"
29500,"Java, Spring Boot, MySQL",Fresher,Internship at Startup,TensorFlow Cert,"Built ATS system, Spam Classifier","B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
29501,"Cloud Computing, AWS, DevOps",2+ years,Internship at Security Firm,UI/UX Cert,Image Recognition System,"MBA, Master of Business Administration, Management Studies"
29502,"UI/UX, Figma, Adobe XD",Fresher,Internship at Security Firm,CEH Cert,"Chatbot, ATS Score System","M.Tech AI, Master of Technology in Artificial Intelligence, Artificial Intelligence Engineering"
29503,"Data Science, Pandas, NLP",3+ years,Internship in Mobile Dev,CEH Cert,CI/CD Pipeline,"M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
29504,"Cybersecurity, Networking, Linux",Fresher,Internship at Security Firm,Oracle Java Cert,Social Media App,"MBA, Master of Business Administration, Management Studies"
29505,"Cybersecurity, Networking, Linux",3+ years,Internship in Web Company,Embedded Cert,Smart Home System,"B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
29506,"Cybersecurity, Networking, Linux",2+ years,Internship in Web Company,UI/UX Cert,Social Media App,"B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
29507,"Cloud Computing, AWS, DevOps",3+ years,Internship in Mobile Dev,Oracle Java Cert,"Chatbot, ATS Score System","B.Des Design, Bachelor of Design, Design Engineering"
29508,"React, Node.js, MongoDB",3+ years,Internship in Web Company,Data Science Cert,CI/CD Pipeline,"B.Des Design, Bachelor of Design, Design Engineering"
29509,"C, Embedded Systems, IoT",2+ years,Internship in Mobile Dev,Full Stack Cert,Image Recognition System,"M.Tech AI, Master of Technology in Artificial Intelligence, Artificial Intelligence Engineering"
29510,"React, Node.js, MongoDB",3+ years,Internship in Design,CEH Cert,Smart Home System,"B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
29511,"Python, Django, Machine Learning",3+ years,Internship at IT company,Oracle Java Cert,"Built ATS system, Spam Classifier","MBA, Master of Business Administration, Management Studies"
29512,"Python, Django, Machine Learning",3+ years,Internship in Analytics,AWS Architect Cert,"Firewall Project, Pen Testing","B.Tech ECE, Bachelor of Engineering in Electronics and Communication, Electronics and Communication Engineering"
29513,"UI/UX, Figma, Adobe XD",2+ years,Internship in Cloud Services,Embedded Cert,"Built ATS system, Spam Classifier","M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
29514,"React, Node.js, MongoDB",2+ years,Internship at IT company,AWS Architect Cert,"Chatbot, ATS Score System","B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
29515,"UI/UX, Figma, Adobe XD",Fresher,Internship in Design,UI/UX Cert,Food Delivery App,"B.Des Design, Bachelor of Design, Design Engineering"
29516,"Python, Django, Machine Learning",3+ years,Internship in Mobile Dev,Embedded Cert,"Chatbot, ATS Score System","MBA, Master of Business Administration, Management Studies"
29517,"C, Embedded Systems, IoT",2+ years,Internship in Analytics,Oracle Java Cert,Smart Home System,"B.Tech ECE, Bachelor of Engineering in Electronics and Communication, Electronics and Communication Engineering"
29518,"AI, Deep Learning, TensorFlow",Fresher,Internship in Cloud Services,UI/UX Cert,CI/CD Pipeline,"B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
29519,"Data Science, Pandas, NLP",3+ years,Internship in Mobile Dev,Full Stack Cert,E-learning Platform,"B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
29520,"UI/UX, Figma, Adobe XD",2+ years,Internship in AI Research,Data Science Cert,"E-commerce Website, Banking App","MBA, Master of Business Administration, Management Studies"
29521,"AI, Deep Learning, TensorFlow",2+ years,Internship in Mobile Dev,Data Science Cert,Social Media App,"B.Des Design, Bachelor of Design, Design Engineering"
29522,"Cloud Computing, AWS, DevOps",3+ years,Internship in Mobile Dev,"AWS Certified, Python Certified",Social Media App,"B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
29523,"Python, Django, Machine Learning",1+ years,Internship in Analytics,Full Stack Cert,E-learning Platform,"M.Tech AI, Master of Technology in Artificial Intelligence, Artificial Intelligence Engineering"
29524,"Java, Spring Boot, MySQL",2+ years,Internship at Startup,Oracle Java Cert,"Chatbot, ATS Score System","B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
29525,"UI/UX, Figma, Adobe XD",1+ years,Internship at Security Firm,AWS Architect Cert,Food Delivery App,"B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
29526,"Cybersecurity, Networking, Linux",2+ years,Internship in IoT Lab,Embedded Cert,"Chatbot, ATS Score System","M.Tech AI, Master of Technology in Artificial Intelligence, Artificial Intelligence Engineering"
29527,"Android, Kotlin, Firebase",1+ years,Internship in Analytics,UI/UX Cert,CI/CD Pipeline,"B.Tech ECE, Bachelor of Engineering in Electronics and Communication, Electronics and Communication Engineering"
29528,"Python, Django, Machine Learning",2+ years,Internship in AI Research,Google Android Cert,"Firewall Project, Pen Testing","B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
29529,"Cloud Computing, AWS, DevOps",Fresher,Internship in Design,AWS Architect Cert,CI/CD Pipeline,"B.Tech ECE, Bachelor of Engineering in Electronics and Communication, Electronics and Communication Engineering"
29530,"UI/UX, Figma, Adobe XD",Fresher,Internship at Security Firm,"AWS Certified, Python Certified","Chatbot, ATS Score System","MBA, Master of Business Administration, Management Studies"
29531,"Cloud Computing, AWS, DevOps",Fresher,Internship in Cloud Services,UI/UX Cert,Smart Home System,"B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
29532,"React, Node.js, MongoDB",Fresher,Internship in Cloud Services,Full Stack Cert,Social Media App,"B.Tech ECE, Bachelor of Engineering in Electronics and Communication, Electronics and Communication Engineering"
29533,"Cloud Computing, AWS, DevOps",3+ years,Internship in Mobile Dev,AWS Architect Cert,"E-commerce Website, Banking App","B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
29534,"AI, Deep Learning, TensorFlow",Fresher,Internship at Startup,Full Stack Cert,"Chatbot, ATS Score System","MBA, Master of Business Administration, Management Studies"
29535,"Cybersecurity, Networking, Linux",3+ years,Internship at Startup,UI/UX Cert,"E-commerce Website, Banking App","B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
29536,"C, Embedded Systems, IoT",2+ years,Internship at Startup,Google Android Cert,"E-commerce Website, Banking App","M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
29537,"Python, Django, Machine Learning",2+ years,Internship at Startup,AWS Architect Cert,Social Media App,"M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
29538,"Android, Kotlin, Firebase",Fresher,Internship in AI Research,"AWS Certified, Python Certified",Smart Home System,"B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
29539,"AI, Deep Learning, TensorFlow",2+ years,Internship at IT company,Google Android Cert,"E-commerce Website, Banking App","B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
29540,"C, Embedded Systems, IoT",1+ years,Internship in Analytics,Oracle Java Cert,CI/CD Pipeline,"B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
29541,"Cloud Computing, AWS, DevOps",Fresher,Internship in Cloud Services,Embedded Cert,Food Delivery App,"MBA, Master of Business Administration, Management Studies"
29542,"AI, Deep Learning, TensorFlow",3+ years,Internship in IoT Lab,AWS Architect Cert,Social Media App,"B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
29543,"React, Node.js, MongoDB",3+ years,Internship in Cloud Services,CEH Cert,Image Recognition System,"B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
29544,"C, Embedded Systems, IoT",3+ years,Internship in IoT Lab,TensorFlow Cert,Social Media App,"B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
29545,"Python, Django, Machine Learning",Fresher,Internship in Analytics,Full Stack Cert,"E-commerce Website, Banking App","B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
29546,"Java, Spring Boot, MySQL",3+ years,Internship in IoT Lab,Google Android Cert,Social Media App,"B.Des Design, Bachelor of Design, Design Engineering"
29547,"Python, Django, Machine Learning",Fresher,Internship in AI Research,Data Science Cert,Social Media App,"M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
29548,"UI/UX, Figma, Adobe XD",Fresher,Internship at IT company,CEH Cert,Food Delivery App,"B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
29549,"AI, Deep Learning, TensorFlow",2+ years,Internship in AI Research,Data Science Cert,"Chatbot, ATS Score System","M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
29550,"C, Embedded Systems, IoT",Fresher,Internship at IT company,TensorFlow Cert,CI/CD Pipeline,"B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
29551,"Android, Kotlin, Firebase",3+ years,Internship in Web Company,"AWS Certified, Python Certified",Smart Home System,"M.Tech AI, Master of Technology in Artificial Intelligence, Artificial Intelligence Engineering"
29552,"React, Node.js, MongoDB",1+ years,Internship at Security Firm,CEH Cert,"Chatbot, ATS Score System","B.Tech ECE, Bachelor of Engineering in Electronics and Communication, Electronics and Communication Engineering"
29553,"Android, Kotlin, Firebase",Fresher,Internship at Startup,TensorFlow Cert,"Built ATS system, Spam Classifier","M.Tech AI, Master of Technology in Artificial Intelligence, Artificial Intelligence Engineering"
29554,"React, Node.js, MongoDB",Fresher,Internship in Mobile Dev,TensorFlow Cert,CI/CD Pipeline,"M.Tech AI, Master of Technology in Artificial Intelligence, Artificial Intelligence Engineering"
29555,"Python, Django, Machine Learning",Fresher,Internship at IT company,AWS Architect Cert,E-learning Platform,"B.Des Design, Bachelor of Design, Design Engineering"
29556,"AI, Deep Learning, TensorFlow",1+ years,Internship in AI Research,AWS Architect Cert,"Built ATS system, Spam Classifier","B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
29557,"Python, Django, Machine Learning",Fresher,Internship at Security Firm,CEH Cert,Food Delivery App,"B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
29558,"UI/UX, Figma, Adobe XD",1+ years,Internship in IoT Lab,Oracle Java Cert,CI/CD Pipeline,"M.Tech AI, Master of Technology in Artificial Intelligence, Artificial Intelligence Engineering"
29559,"Android, Kotlin, Firebase",2+ years,Internship at Security Firm,Oracle Java Cert,"Firewall Project, Pen Testing","M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
29560,"AI, Deep Learning, TensorFlow",Fresher,Internship at Security Firm,"AWS Certified, Python Certified",Image Recognition System,"B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
29561,"Cloud Computing, AWS, DevOps",3+ years,Internship in Cloud Services,Google Android Cert,Smart Home System,"MBA, Master of Business Administration, Management Studies"
29562,"Data Science, Pandas, NLP",2+ years,Internship in IoT Lab,CEH Cert,E-learning Platform,"B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
29563,"Cybersecurity, Networking, Linux",2+ years,Internship in Mobile Dev,UI/UX Cert,Food Delivery App,"M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
29564,"AI, Deep Learning, TensorFlow",1+ years,Internship at Security Firm,Embedded Cert,Food Delivery App,"M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
29565,"C, Embedded Systems, IoT",1+ years,Internship in IoT Lab,CEH Cert,Food Delivery App,"B.Des Design, Bachelor of Design, Design Engineering"
29566,"UI/UX, Figma, Adobe XD",3+ years,Internship at Startup,TensorFlow Cert,"Built ATS system, Spam Classifier","B.Tech ECE, Bachelor of Engineering in Electronics and Communication, Electronics and Communication Engineering"
29567,"Cloud Computing, AWS, DevOps",Fresher,Internship in IoT Lab,Oracle Java Cert,"Firewall Project, Pen Testing","B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
29568,"C, Embedded Systems, IoT",Fresher,Internship at IT company,Google Android Cert,"E-commerce Website, Banking App","M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
29569,"Java, Spring Boot, MySQL",2+ years,Internship in Analytics,UI/UX Cert,CI/CD Pipeline,"B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
29570,"Cybersecurity, Networking, Linux",Fresher,Internship in Cloud Services,CEH Cert,"Chatbot, ATS Score System","B.Des Design, Bachelor of Design, Design Engineering"
29571,"AI, Deep Learning, TensorFlow",Fresher,Internship in Web Company,Google Android Cert,"E-commerce Website, Banking App","B.Tech ECE, Bachelor of Engineering in Electronics and Communication, Electronics and Communication Engineering"
29572,"Android, Kotlin, Firebase",Fresher,Internship at Security Firm,CEH Cert,"E-commerce Website, Banking App","B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
29573,"Android, Kotlin, Firebase",3+ years,Internship at IT company,Oracle Java Cert,"Built ATS system, Spam Classifier","B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
29574,"Cybersecurity, Networking, Linux",Fresher,Internship at IT company,Full Stack Cert,Social Media App,"B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
29575,"Python, Django, Machine Learning",1+ years,Internship at Startup,Google Android Cert,"Firewall Project, Pen Testing","B.Tech ECE, Bachelor of Engineering in Electronics and Communication, Electronics and Communication Engineering"
29576,"Data Science, Pandas, NLP",3+ years,Internship at Startup,CEH Cert,Food Delivery App,"B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
29577,"Python, Django, Machine Learning",Fresher,Internship in Mobile Dev,"AWS Certified, Python Certified",CI/CD Pipeline,"B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
29578,"UI/UX, Figma, Adobe XD",Fresher,Internship in Cloud Services,Google Android Cert,"Chatbot, ATS Score System","MBA, Master of Business Administration, Management Studies"
29579,"Cloud Computing, AWS, DevOps",1+ years,Internship in Web Company,Data Science Cert,Social Media App,"B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
29580,"React, Node.js, MongoDB",3+ years,Internship in Cloud Services,Oracle Java Cert,Image Recognition System,"MBA, Master of Business Administration, Management Studies"
29581,"Android, Kotlin, Firebase",3+ years,Internship in Web Company,UI/UX Cert,E-learning Platform,"M.Tech AI, Master of Technology in Artificial Intelligence, Artificial Intelligence Engineering"
29582,"Android, Kotlin, Firebase",1+ years,Internship at IT company,Google Android Cert,"E-commerce Website, Banking App","B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
29583,"Data Science, Pandas, NLP",3+ years,Internship in Analytics,CEH Cert,CI/CD Pipeline,"B.Des Design, Bachelor of Design, Design Engineering"
29584,"AI, Deep Learning, TensorFlow",3+ years,Internship at Startup,Embedded Cert,Smart Home System,"M.Tech AI, Master of Technology in Artificial Intelligence, Artificial Intelligence Engineering"
29585,"Cloud Computing, AWS, DevOps",3+ years,Internship at Security Firm,TensorFlow Cert,Image Recognition System,"B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
29586,"AI, Deep Learning, TensorFlow",Fresher,Internship at IT company,Embedded Cert,Image Recognition System,"B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
29587,"Data Science, Pandas, NLP",3+ years,Internship in IoT Lab,CEH Cert,"E-commerce Website, Banking App","B.Des Design, Bachelor of Design, Design Engineering"
29588,"Data Science, Pandas, NLP",Fresher,Internship at Startup,Oracle Java Cert,Smart Home System,"M.Tech AI, Master of Technology in Artificial Intelligence, Artificial Intelligence Engineering"
29589,"UI/UX, Figma, Adobe XD",2+ years,Internship at Security Firm,Google Android Cert,E-learning Platform,"B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
29590,"AI, Deep Learning, TensorFlow",2+ years,Internship in Web Company,Embedded Cert,Social Media App,"B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
29591,"Cloud Computing, AWS, DevOps",Fresher,Internship in Analytics,Oracle Java Cert,"E-commerce Website, Banking App","B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
29592,"Java, Spring Boot, MySQL",3+ years,Internship in Mobile Dev,"AWS Certified, Python Certified",E-learning Platform,"B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
29593,"Python, Django, Machine Learning",3+ years,Internship in Web Company,Data Science Cert,"Firewall Project, Pen Testing","B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
29594,"Cybersecurity, Networking, Linux",Fresher,Internship at Security Firm,Full Stack Cert,Smart Home System,"B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
29595,"AI, Deep Learning, TensorFlow",2+ years,Internship in Web Company,UI/UX Cert,CI/CD Pipeline,"B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
29596,"Cloud Computing, AWS, DevOps",2+ years,Internship at Startup,Data Science Cert,Food Delivery App,"B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
29597,"Android, Kotlin, Firebase",1+ years,Internship in Web Company,TensorFlow Cert,Smart Home System,"M.Tech AI, Master of Technology in Artificial Intelligence, Artificial Intelligence Engineering"
29598,"C, Embedded Systems, IoT",2+ years,Internship in AI Research,Oracle Java Cert,Smart Home System,"B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
29599,"Java, Spring Boot, MySQL",1+ years,Internship in Analytics,TensorFlow Cert,Smart Home System,"B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
29600,"React, Node.js, MongoDB",1+ years,Internship at IT company,UI/UX Cert,"Built ATS system, Spam Classifier","M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
29601,"Cloud Computing, AWS, DevOps",3+ years,Internship in Mobile Dev,Data Science Cert,Food Delivery App,"B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
29602,"AI, Deep Learning, TensorFlow",1+ years,Internship in Mobile Dev,AWS Architect Cert,Food Delivery App,"B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
29603,"Cloud Computing, AWS, DevOps",2+ years,Internship at Security Firm,Google Android Cert,"Firewall Project, Pen Testing","B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
29604,"Cloud Computing, AWS, DevOps",1+ years,Internship in Cloud Services,UI/UX Cert,"Firewall Project, Pen Testing","M.Tech AI, Master of Technology in Artificial Intelligence, Artificial Intelligence Engineering"
29605,"UI/UX, Figma, Adobe XD",Fresher,Internship in Design,CEH Cert,"E-commerce Website, Banking App","M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
29606,"UI/UX, Figma, Adobe XD",Fresher,Internship in Web Company,Google Android Cert,Social Media App,"M.Tech AI, Master of Technology in Artificial Intelligence, Artificial Intelligence Engineering"
29607,"Cybersecurity, Networking, Linux",1+ years,Internship in IoT Lab,Oracle Java Cert,E-learning Platform,"B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
29608,"Data Science, Pandas, NLP",1+ years,Internship in Mobile Dev,"AWS Certified, Python Certified",CI/CD Pipeline,"B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
29609,"C, Embedded Systems, IoT",3+ years,Internship in Mobile Dev,Google Android Cert,CI/CD Pipeline,"B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
29610,"Android, Kotlin, Firebase",3+ years,Internship in Design,UI/UX Cert,"E-commerce Website, Banking App","B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
29611,"UI/UX, Figma, Adobe XD",Fresher,Internship in Mobile Dev,Data Science Cert,Smart Home System,"M.Tech AI, Master of Technology in Artificial Intelligence, Artificial Intelligence Engineering"
29612,"AI, Deep Learning, TensorFlow",Fresher,Internship in Cloud Services,CEH Cert,Image Recognition System,"B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
29613,"React, Node.js, MongoDB",Fresher,Internship at IT company,Full Stack Cert,E-learning Platform,"B.Des Design, Bachelor of Design, Design Engineering"
29614,"AI, Deep Learning, TensorFlow",3+ years,Internship at Startup,Oracle Java Cert,Social Media App,"B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
29615,"Java, Spring Boot, MySQL",Fresher,Internship in AI Research,AWS Architect Cert,Social Media App,"MBA, Master of Business Administration, Management Studies"
29616,"Python, Django, Machine Learning",3+ years,Internship in Mobile Dev,"AWS Certified, Python Certified",Social Media App,"B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
29617,"Cloud Computing, AWS, DevOps",1+ years,Internship in Web Company,Embedded Cert,"Chatbot, ATS Score System","B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
29618,"AI, Deep Learning, TensorFlow",1+ years,Internship in Cloud Services,CEH Cert,"Built ATS system, Spam Classifier","B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
29619,"React, Node.js, MongoDB",3+ years,Internship in Cloud Services,Embedded Cert,Smart Home System,"M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
29620,"React, Node.js, MongoDB",Fresher,Internship in Mobile Dev,"AWS Certified, Python Certified","Firewall Project, Pen Testing","M.Tech AI, Master of Technology in Artificial Intelligence, Artificial Intelligence Engineering"
29621,"Cloud Computing, AWS, DevOps",3+ years,Internship in Analytics,CEH Cert,E-learning Platform,"M.Tech AI, Master of Technology in Artificial Intelligence, Artificial Intelligence Engineering"
